id|title|url|price|sellerId|advertType|distance|city|c2type|monitortype|target_price|margin|date
m1827367298|Concept 2 roeimachine Model C|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1827367298-concept-2-roeimachine-model-c|NaN|1395393|PACKAGE_FREE|20|Wormer|C||0|0|2022-04-03T14:33:26.727Z
m1826753226|Roeitrainer Concept2 dynamic met PM4, roien|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1826753226-roeitrainer-concept2-dynamic-met-pm4-roien|1100|27782606|PACKAGE_FREE|54|Rotterdam|||0|0|2022-04-03T14:33:26.727Z
m1827492843|Concept2 roeier model D PM3|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1827492843-concept2-roeier-model-d-pm3|600|40031704|PACKAGE_FREE|39|Nootdorp|D|PM3|700|100|2022-04-03T14:13:18Z
m1827485774|Concept 2 roeitrainer model D met pm3 monitor|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1827485774-concept-2-roeitrainer-model-d-met-pm3-monitor|500|10771704|PACKAGE_FREE|174|Koningsbosch|D|PM3|700|200|2022-04-03T14:00:47Z
m1827368169|Concept 2 roeimachine|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1827368169-concept-2-roeimachine|NaN|21907754|PACKAGE_FREE|23|Katwijk|||0|0|2022-04-03T10:36:08Z
m1827325374|Concept 2 model D PM5 zwart|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1827325374-concept-2-model-d-pm5-zwart|975|19503842|PACKAGE_FREE|81|Oudheusden|D|PM5|800|0|2022-04-03T09:23:12Z
m1827314700|Concept 2 Model C met Pm3 Scherm|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1827314700-concept-2-model-c-met-pm3-scherm|550|12832073|PACKAGE_FREE|100|Goirle|C|PM3|500|0|2022-04-03T09:02:44Z
m1827292009|Roeitrainer CONCEPT 2 PM3 DISPLAY|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1827292009-roeitrainer-concept-2-pm3-display|380|44490000|PACKAGE_FREE|74|Veenendaal||PM3|0|0|2022-04-03T08:13:33Z
m1827204538|Concept 2 roeiapparaat / roeier|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1827204538-concept-2-roeiapparaat-roeier|NaN|1323945|PACKAGE_FREE|143|Aalten|||0|0|2022-04-02T19:12:14Z
m1827204501|Roeitrainer CONCEPT 2 PM2 DISPLAY|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1827204501-roeitrainer-concept-2-pm2-display|475|44869080|PACKAGE_FREE|74|De Klomp||PM2|0|0|2022-04-02T19:12:06Z
m1827203784|Roeitrainer CONCEPT 2 MODEL D MET PM5 DISPLAY|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1827203784-roeitrainer-concept-2-model-d-met-pm5-display|750|44869080|PACKAGE_FREE|74|De Klomp|D|PM5|800|50|2022-04-02T19:09:13Z
