,title,price,distance,city,date
0,'Concept2 PM2 werkende losse monitor',65.0,17.0,Amsterdam,2020-10-13 17:40:19+00:00
1,'Concept2 Model D PM5 Zwart',1000.0,41.0,Hilversum,2020-10-13 17:40:19+00:00
2,'Concept 2 model D/ PM5    Nieuwstaat!',925.0,45.0,Rijswijk,2020-10-13 15:36:17+00:00
3,'Concept2 Model D PM5 roeitrainer',850.0,93.0,Apeldoorn,2020-10-13 14:34:17+00:00
4,'Concept 2 roeimachine model D PM3',800.0,33.0,Volendam,2020-10-13 13:32:17+00:00
5,'Concept 2 met pm5 zeer mooi',875.0,98.0,Gemonde,2020-10-13 10:26:17+00:00
6,'Concept 2 model C',NaN,146.0,Leek,2020-10-13 06:18:16+00:00
7,'Concept 2 model C',NaN,146.0,Leek,2020-10-12 21:00:20+00:00
8,'Concept2 PM3 werkende losse monitor',50.0,17.0,Amsterdam,2020-10-12 19:58:18+00:00
9,'Concept 2 model D met PM5 in Perfecte Staat',950.0,40.0,Nootdorp,2020-10-12 18:56:20+00:00
10,'Concept 2 - indoor Roeimachine',750.0,106.0,Langenboom,2020-10-12 18:56:20+00:00
11,'concept 2',NaN,146.0,Leek,2020-10-12 17:54:18+00:00
12,'Concept 2 Ergometer Model D',650.0,86.0,Rosmalen,2020-10-12 15:50:48+00:00
13,'Roeier concept2',625.0,85.0,Dongen,2020-10-12 15:50:48+00:00
14,'Concept2 Roeimachine',NaN,64.0,Woudenberg,2020-10-12 15:50:48+00:00
15,'Concept2 PM 4 roeitrainer roeiapparaat roeier roeien',NaN,64.0,Dordrecht,2020-10-12 15:50:47+00:00
16,'Concept 2 model c',NaN,146.0,Leek,2020-10-12 15:50:44+00:00
17,'Roeitrainer CONCEPT 2 MODEL D MET PM4 DISPLAY//ZGAN',749.0,74.0,Veenendaal,2020-10-12 15:50:44+00:00
18,'Concept 2 roeier incl anti slipmat.',NaN,91.0,Apeldoorn,2020-10-12 15:50:44+00:00
19,'Concept 2 Roeitrainer in prima conditie - Coronaproof traine',525.0,123.0,Lemele,2020-10-12 15:50:43+00:00
20,'Concept2 model d pm5 grijs',900.0,51.0,De Lier,2020-10-12 15:50:43+00:00
21,'Concept 2 roeitrainer model D PM4',800.0,45.0,Utrecht,2020-10-11 15:43:19+00:00
22,'Concept 2 Bike Erg',1000.0,42.0,Hoorn,2020-10-11 14:41:23+00:00
23,'Concept 2 monitor (defect)',NaN,146.0,Leek,2020-10-11 14:41:23+00:00
24,'Concept 2 model D (superstaat!!)',NaN,146.0,Leek,2020-10-11 13:39:18+00:00
25,'Concept2 PM5 roeitrainer',750.0,62.0,Sliedrecht,2020-10-11 12:37:19+00:00
26,'Concept 2 indoor Roeiapparaat model D PM3',450.0,160.0,Groningen,2020-10-11 11:35:19+00:00
27,'Zitkussen en smartphonehouder voor concept2 roeiapparaat',NaN,51.0,De Lier,2020-10-11 09:31:18+00:00
28,'Roeimachine concept2',NaN,17.0,Amstelveen,2020-10-11 09:31:18+00:00
29,'Concept 2 nieuwstaat',650.0,107.0,Sint-Oedenrode,2020-10-11 08:29:18+00:00
30,"'Ergometer / roeitrainer Concept 2 Model D, zwart, zgan'",850.0,116.0,Laag-Keppel,2020-10-10 18:01:20+00:00
31,'Nieuwe roeier Concept 2 model D met PM5 zwart',1300.0,46.0,Delft,2020-10-10 14:55:24+00:00
32,"'Concept 2 roeimachine, model D met PM4 scherm'",NaN,54.0,Amersfoort,2020-10-10 13:53:19+00:00
33,'Concept2 Type D Indoor Rower PM3 roeitrainer',599.0,104.0,Deventer,2020-10-10 12:51:17+00:00
34,'Concept 2 Ergometer Model D',650.0,15.0,Amsterdam,2020-10-10 12:51:17+00:00
35,'Concept 2 pm3  roeier.',NaN,22.0,Den Ilp,2020-10-10 11:49:17+00:00
36,'Concept2 roeier model C PM2',600.0,39.0,Nootdorp,2020-10-10 11:49:17+00:00
37,'Concept2 Type D/E Indoor Rower PM3 roeitrainer',599.0,104.0,Deventer,2020-10-10 11:49:17+00:00
38,"'Concept 2, model E met PM4'",800.0,111.0,Staphorst,2020-10-10 09:45:18+00:00
39,'Concept2 Roeitrainer Model C (defecte display)',400.0,22.0,Amsterdam,2020-10-09 22:23:16+00:00
40,'Concept2 model d pm5',900.0,51.0,De Lier,2020-10-09 21:21:17+00:00
41,'Concept 2 indoor roeiapparaat',NaN,103.0,Bergen op Zoom,2020-10-09 19:17:18+00:00
42,"'Concept 2 roeitrainer, model E, display PM4'",NaN,67.0,Harderwijk,2020-10-09 14:07:19+00:00
43,"'Concept 2 model D pm5, roeitrainer nieuw in doos'",1100.0,104.0,Deventer,2020-10-09 14:07:19+00:00
44,'Roeitrainer concept2 Indoor Rower',500.0,19.0,Amsterdam,2020-10-09 11:56:18+00:00
45,'Concept 2 roeimachine Model D met PM5',800.0,17.0,Amsterdam,2020-10-09 11:56:18+00:00
46,'Roeimachine Concept 2',575.0,110.0,Erp,2020-10-09 11:56:18+00:00
47,'Concept 2 Model E met Pm4 Scherm',800.0,99.0,Goirle,2020-10-09 10:52:18+00:00
48,'Nieuwe roeier Concept 2 model D met PM5',1250.0,46.0,Delft,2020-10-09 07:45:15+00:00
49,'Concept 2 PM2 ZEER GOEDE STAAT',600.0,81.0,Zevenbergen,2020-10-08 19:21:19+00:00
50,'Concept 2 model D indoor Rower PM3 gereserveerd tot vr mid',800.0,64.0,Putten,2020-10-08 16:15:17+00:00
51,'CONCEPT 2 ROEITRAINER',NaN,172.0,Stitswerd,2020-10-08 11:01:17+00:00
52,"'NIEUWSTAAT! Roeimachine Concept 2 model D, PM5'",1050.0,182.0,Meerssen,2020-10-07 20:24:18+00:00
53,'Concept 2 model D met PM3',750.0,102.0,Zwartsluis,2020-10-07 12:46:17+00:00
54,'Concept 2 model E/ PM5  In Splinternieuwe Staat',1175.0,45.0,Rijswijk,2020-10-07 12:36:19+00:00
55,'Concept 2 model C',575.0,107.0,Sint-Oedenrode,2020-10-07 11:11:16+00:00
56,'Concept 2 model D indoor Rower PM3',800.0,64.0,Putten,2020-10-07 09:15:18+00:00
57,'Concept 2 sensor   Sensorhuis voor PM aansturing',NaN,40.0,Nootdorp,2020-10-07 06:56:18+00:00
58,'Concept 2 PM3 monitor met hartslag sensor',NaN,40.0,Nootdorp,2020-10-07 05:53:16+00:00
59,'Professionele roeitrainer commercial line Concept 2 Proteus',500.0,82.0,Hedel,2020-10-06 21:06:16+00:00
60,'Indoor roeitrainer Concept 2 model D met PM4 computer',NaN,20.0,Amsterdam,2020-10-06 21:06:16+00:00
61,'Concept 2 PM3 monitor',NaN,40.0,Nootdorp,2020-10-06 20:13:17+00:00
62,'Concept2 Model D PM5 roei trainer machine',700.0,95.0,Arnhem,2020-10-06 18:27:19+00:00
63,'Concept2 Model D PM5',700.0,95.0,Arnhem,2020-10-06 18:17:18+00:00
64,'Concept 2 Model E met Pm4 Scherm',800.0,99.0,Goirle,2020-10-06 16:17:17+00:00
65,'Concept 2 model D PM3 roeitrainer',600.0,58.0,Breezand,2020-10-06 14:52:19+00:00
66,'Concept2 roeier model c PM4',600.0,12.0,Nieuw-Vennep,2020-10-06 14:21:17+00:00
67,'Roeitrainer concept 2',NaN,74.0,Aalst,2020-10-06 13:39:17+00:00
68,'Concept2 roei ergometer',450.0,43.0,De Meern,2020-10-06 12:55:16+00:00
69,'Concept 2 roeitrainer PM2',200.0,28.0,Voorschoten,2020-10-06 09:08:16+00:00
70,'Roeimachine Concept 2 model D',550.0,66.0,Harderwijk,2020-10-06 08:16:17+00:00
71,'Concept 2 roeier',NaN,91.0,Apeldoorn,2020-10-06 05:57:16+00:00
72,'Nieuw Concept 2 Model D Indoor Rower PM5',1000.0,40.0,'s-Gravenhage,2020-10-05 19:20:20+00:00
73,"'Concept 2 model D, PM 3 display'",750.0,2.0,Heemstede,2020-10-05 15:17:17+00:00
74,'Concept2  roeimachine model PM4 2x',600.0,47.0,Bilthoven,2020-10-05 14:29:17+00:00
75,'Concept2 model E PM5',800.0,26.0,Amsterdam,2020-10-05 10:49:18+00:00
76,'Concept2 model D PM5',800.0,26.0,Amsterdam,2020-10-05 10:26:17+00:00
77,'Concept2 model D PM5',800.0,26.0,Amsterdam,2020-10-05 10:25:19+00:00
78,'Concept 2 conceot2 roeier model d pm5',750.0,65.0,Dordrecht,2020-10-05 06:23:16+00:00
79,'Concept 2 row',750.0,105.0,Veghel,2020-10-05 05:34:16+00:00
80,'Concept 2 Model D PM3 Roeitrainer',900.0,2.0,Heemstede,2020-10-04 20:00:19+00:00
81,'concept 2 roeier rower roeiapparaat roeimachine',NaN,63.0,Zwijndrecht,2020-10-04 16:40:19+00:00
82,'Concept 2 Model C roeitrainer',550.0,3.0,Heemstede,2020-10-04 16:29:18+00:00
83,'Concept2 roeier model C PM2',600.0,39.0,Nootdorp,2020-10-04 14:57:16+00:00
84,"'Concept 2 Roeitrainer Model D PM5, inclusief accessoires'",850.0,108.0,Best,2020-10-04 14:26:17+00:00
85,"'Concept 2 Roeitrainer Model D PM5, inclusief accessoires'",850.0,108.0,Best,2020-10-04 14:25:17+00:00
86,'Roeitrainer Concept 2 Model B.',250.0,59.0,Rhoon,2020-10-04 12:22:18+00:00
87,'Concept 2 PM3 display roeimachine rowing machine indoor',600.0,22.0,Amsterdam,2020-10-04 11:40:19+00:00
88,'Concept 2 PM3 display roeimachine rowing machine indoor',600.0,22.0,Amsterdam,2020-10-04 11:39:17+00:00
89,'Concept 2 Model C Roeitrainer PM2',500.0,55.0,Rotterdam,2020-10-04 10:26:25+00:00
90,'Concept 2 Model E met PM 5 display zo goed als nieuw',1000.0,41.0,Vleuten,2020-10-04 09:55:18+00:00
91,'Concept 2 Roeitrainer Model C Met Pm2 Scherm',550.0,99.0,Goirle,2020-10-04 07:50:56+00:00
92,'concept 2 model D',NaN,17.0,Weteringbrug,2020-10-04 07:50:50+00:00
93,'Spm2 voor concept 2',NaN,84.0,Breda,2020-10-04 07:50:50+00:00
94,"'Concept 2 roeitrainer, met Pm2 display, in zeer goede staat'",700.0,91.0,Rosmalen,2020-10-04 07:50:50+00:00
95,'Roeitrainer CONCEPT 2 MODEL D met PM3 DISPLAY',675.0,73.0,Veenendaal,2020-10-04 07:50:49+00:00
96,'Concept 2 roeimachine',250.0,76.0,Veenendaal,2020-10-04 07:50:49+00:00
97,'Concept 2 roeier model E pm4 display monitor',NaN,166.0,Hoogezand,2020-10-02 08:59:18+00:00
98,'Concept 2 roeier model E pm4 display monitor',NaN,166.0,Hoogezand,2020-10-02 08:58:16+00:00
99,'Concept 2 Model D Roeitrainer met PM3',800.0,0,Haarlem,2020-10-01 16:56:42+00:00
100,"'Onbeschadigde Roeimachine, Concept 2, Model D, PM3 monitor.'",550.0,54.0,Vianen,2020-10-01 12:53:17+00:00
101,'ZGAN roeier Concept 2 model D met PM5',1250.0,46.0,Delft,2020-10-01 10:17:17+00:00
102,'Concept 2 Roeimachine model C uitmuntende staat',550.0,78.0,Nunspeet,2020-09-30 19:04:20+00:00
103,'Concept 2 Roeimachine',550.0,78.0,Nunspeet,2020-09-30 18:17:18+00:00
104,'Roeitrainer Concept 2 model D PM5',850.0,41.0,Hilversum,2020-09-30 16:31:22+00:00
105,'Concept 2 Roei Apparaat',NaN,39.0,Harmelen,2020-09-30 14:11:17+00:00
106,'Concept2 Roeitrainer',450.0,50.0,Bosch en Duin,2020-09-30 13:48:17+00:00
107,'Concept 2 roeitrainer Nieuw model D',1950.0,91.0,'s-Hertogenbosch,2020-09-30 12:20:18+00:00
108,'Concept 2 Roeitrainer Model C Met Pm3 Scherm',550.0,99.0,Goirle,2020-09-29 17:14:18+00:00
109,'Roeimachine Concept 2 zwart',600.0,52.0,Lekkerkerk,2020-09-29 13:20:17+00:00
110,'Roeitrainer CONCEPT 2',675.0,74.0,Veenendaal,2020-09-29 12:05:16+00:00
111,'Roeimachine Concept 2 model D',NaN,23.0,Leiden,2020-09-29 09:39:16+00:00
112,'Concept 2 roei trainer model D pm4',700.0,68.0,Harderwijk,2020-09-28 21:29:16+00:00
113,'Concept2 model C roeitrainer met PM2',500.0,75.0,Hulshorst,2020-09-28 12:57:17+00:00
114,'Concept 2 model B roeitrainer',300.0,39.0,'s-Gravenhage,2020-09-28 12:31:16+00:00
115,"'Concept 2 roeier model E, PM5'",NaN,53.0,Medemblik,2020-09-28 12:16:16+00:00
116,'Concept 2 roeimachine roeitrainer PM4 computer',700.0,43.0,Utrecht,2020-09-28 11:55:17+00:00
117,'Concept 2 model E roeitrainer met PM4',750.0,0,Haarlem,2020-09-28 11:32:17+00:00
118,'Roeimachine concept 2.  In zeer goede staat',475.0,127.0,Nijega,2020-09-28 10:19:17+00:00
119,'Concept 2 roeimachine PM4 computer',NaN,43.0,Utrecht,2020-09-28 10:13:16+00:00
120,'Concept 2 roeimachine PM4 computer',NaN,43.0,Utrecht,2020-09-28 10:11:16+00:00
121,'Concept 2 roeimachine PM3 computer',NaN,43.0,Utrecht,2020-09-28 10:09:17+00:00
122,'Concept 2 model D roeimachine zwart',950.0,18.0,Sassenheim,2020-09-28 08:49:18+00:00
123,'Concept 2 roeimachine met PM4 computer',700.0,108.0,Wanneperveen,2020-09-28 07:59:15+00:00
124,'Concept 2 model C roeier - zo goed als nieuw',NaN,18.0,Wormerveer,2020-09-28 06:43:21+00:00
125,'Concept 2 model C roeier - zo goed al nieuw',NaN,18.0,Wormerveer,2020-09-28 06:42:15+00:00
126,'Concept 2 Model C',600.0,3.0,Heemstede,2020-09-27 21:13:16+00:00
127,'Concept 2 roei ergometer model D',700.0,26.0,Leiden,2020-09-27 18:58:18+00:00
128,'Concept 2 roei ergometer model D',700.0,26.0,Leiden,2020-09-27 18:57:20+00:00
129,"'Concept 2 roeier model E, PM5'",NaN,53.0,Medemblik,2020-09-27 14:15:18+00:00
130,'Concept 2 - model D roeitrainer / roeiapparaat',250.0,44.0,Almere,2020-09-27 12:52:16+00:00
131,'Roei ergometer concept 2',300.0,89.0,Breda,2020-09-27 10:15:17+00:00
132,'Concept2 Model D met PM5',900.0,191.0,Heerlen,2020-09-27 10:08:18+00:00
133,'Concept 2 indoor rower roeimachine model D met PM3 monitor',800.0,95.0,Arnhem,2020-09-27 10:04:17+00:00
134,'Concept 2 indoor rower roeimachine model D met PM3 monitor',800.0,95.0,Arnhem,2020-09-27 10:03:16+00:00
135,'Concept 2 model E PM 4 roeiapparaat',650.0,72.0,Voorthuizen,2020-09-26 21:04:21+00:00
136,'Concept 2 model D PM 4 roeiapparaat',650.0,72.0,Voorthuizen,2020-09-26 18:45:19+00:00
137,'Concept 2 PM 4 roeiapparaat',650.0,72.0,Voorthuizen,2020-09-26 18:07:18+00:00
138,'Concept 2 PM 4 roeiapparaat',650.0,72.0,Voorthuizen,2020-09-26 18:06:19+00:00
139,'Roeitrainer CONCEPT 2 MODEL E MET PM4 DISPLAY',750.0,73.0,Veenendaal,2020-09-26 17:40:18+00:00
140,'Roeitrainer CONCEPT 2 MODEL E MET PM4 DISPLAY',750.0,73.0,Veenendaal,2020-09-26 17:39:17+00:00
141,'Concept 2 Roeitrainer Model D met pm3 Scherm',650.0,99.0,Goirle,2020-09-26 15:49:16+00:00
142,"'Concept 2 Roeimachine model C, in bijna nieuwstaat.'",NaN,38.0,Naarden,2020-09-26 15:04:17+00:00
143,'Concept 2 model C roeitrainer te koop!',550.0,0,Haarlem,2020-09-26 14:03:16+00:00
144,'Concept 2 Model D Roeitrainer',900.0,0,Haarlem,2020-09-26 13:56:15+00:00
145,'Concept2 roei ergometer met PM2 scherm',550.0,102.0,Bemmel,2020-09-26 13:46:17+00:00
146,'Concept 2 model D PM4 roeitrainer',650.0,72.0,Voorthuizen,2020-09-26 13:22:17+00:00
147,'Concept 2 Dyno',300.0,25.0,Egmond-Binnen,2020-09-26 10:42:16+00:00
