,url,type,askPrice,maxBid,bidAskDiff,priorityProduct,distanceMeters,date
0,https://www.marktplaats.nl/a/muziek-en-instrumenten/effecten/m1509053478-crybaby-slash-sc95.html,RESERVED,95.0,70.0,-25.0,NONE,185000,2019-01-30T00:14:47Z
1,https://www.marktplaats.nl/a/muziek-en-instrumenten/snaarinstrumenten-gitaren-akoestisch/m1513098391-speciale-akoestische-parlor.html,MIN_BID,140.0,130.0,-10.0,NONE,-1000,2019-02-09T14:17:28Z
2,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1513679206-eurolite-dtb-403-short-4-kanal-light-bar.html,FIXED,75.0,45.0,-30.0,NONE,-1000,2019-02-10T21:10:09Z
3,https://www.marktplaats.nl/a/muziek-en-instrumenten/mengpanelen/m1520759561-gemini-umx-se-special-edition.html,FIXED,75.0,50.0,-25.0,NONE,146000,2019-03-01T13:59:21Z
4,https://www.marktplaats.nl/a/muziek-en-instrumenten/mengpanelen/m1521233627-mengpaneel.html,MIN_BID,250.0,210.0,-40.0,NONE,-1000,2019-03-02T17:39:43Z
5,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1522872122-bluetooth-speaker-met-lichteffecten.html,FIXED,40.0,40.0,0.0,NONE,24000,2019-03-07T12:05:20Z
6,https://www.marktplaats.nl/a/muziek-en-instrumenten/midi-apparatuur/m1523871177-casio-dz-1-midi-translator.html,FIXED,170.0,50.0,-120.0,NONE,117000,2019-03-09T19:53:20Z
7,https://www.marktplaats.nl/a/muziek-en-instrumenten/versterkers-bas-en-gitaar/m1526018600-bogner-shiva-el34-80watt.html,FIXED,1200.0,1100.0,-100.0,NONE,-1000,2019-03-16T08:58:30Z
8,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1526491374-martin-mach-slingshot-ms118-18-precision-devices-8x.html,FIXED,649.0,350.0,-299.0,NONE,-1000,2019-03-17T17:11:42Z
9,https://www.marktplaats.nl/a/muziek-en-instrumenten/microfoons/m1527261336-akg-d-310-zang-microfoon.html,FIXED,80.0,42.0,-38.0,NONE,96000,2019-03-20T11:45:34Z
10,https://www.marktplaats.nl/a/muziek-en-instrumenten/versterkers-bas-en-gitaar/m1530786922-fender-blues-deville-410-combo-uit-1994.html,RESERVED,600.0,500.0,-100.0,NONE,-1000,2019-03-29T21:14:28Z
11,https://www.marktplaats.nl/a/muziek-en-instrumenten/blaasinstrumenten-hoorns/m1531007337-shofar-uit-israel.html,FIXED,30.0,10.0,-20.0,NONE,23000,2019-03-30T15:36:12Z
12,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1534300229-mooie-discolamp-kan-ook-op-muziek.html,MIN_BID,15.0,10.0,-5.0,NONE,117000,2019-04-08T09:10:11Z
13,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1535903338-venz-aplay-one-bluetooth-luidsprekers-wifi-luidsprekers.html,FIXED,30.0,15.0,-15.0,NONE,87000,2019-04-12T11:36:39Z
14,https://www.marktplaats.nl/a/muziek-en-instrumenten/keyboards/m1537176354-yamaha-keyboard-ps6100.html,FIXED,160.0,100.0,-60.0,NONE,42000,2019-04-15T07:09:42Z
15,https://www.marktplaats.nl/a/muziek-en-instrumenten/overige-muziek-en-instrumenten/m1538124898-zeer-mooie-pianokruk-pianobank-nieuw-nooit-gebruikt.html,FIXED,60.0,25.0,-35.0,NONE,169000,2019-04-17T14:05:10Z
16,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1540062851-rookmachine-te-koop.html,FIXED,15.0,10.0,-5.0,NONE,106000,2019-04-21T17:29:29Z
17,https://www.marktplaats.nl/a/muziek-en-instrumenten/speakers/m1541058630-canton-speaker-zuilen.html,MIN_BID,100.0,100.0,0.0,NONE,51000,2019-04-24T11:49:39Z
18,https://www.marktplaats.nl/a/muziek-en-instrumenten/licht-en-laser/m1541844977-led-par-lichteffectinstallatie-mc-crypt-myled-026a.html,FIXED,200.0,100.0,-100.0,NONE,152000,2019-04-26T07:29:25Z
19,https://www.marktplaats.nl/a/muziek-en-instrumenten/versterkers-bas-en-gitaar/m1542891869-dr-z-maz-38nr.html,FIXED,1200.0,800.0,-400.0,NONE,114000,2019-04-27T19:42:51Z
20,https://www.marktplaats.nl/a/muziek-en-instrumenten/percussie/m1542948955-drumkruk-pianokruk-gitaarkruk-van-laag-tot-hoog.html,FIXED,25.0,25.0,0.0,NONE,41000,2019-04-28T06:30:23Z
21,https://www.marktplaats.nl/a/muziek-en-instrumenten/dj-sets-en-draaitafels/m1543113269-dj-midi-controller-draaitafel-numark-omni-control.html,FIXED,50.0,20.0,-30.0,NONE,51000,2019-04-28T11:59:19Z
22,https://www.marktplaats.nl/a/muziek-en-instrumenten/behuizingen-en-koffers/m1543139624-kleine-flightcase.html,MIN_BID,20.0,10.0,-10.0,NONE,88000,2019-04-28T12:39:46Z
23,https://www.marktplaats.nl/a/muziek-en-instrumenten/behuizingen-en-koffers/m1543140641-kleine-flightcase-op-wielen.html,MIN_BID,20.0,10.0,-10.0,NONE,88000,2019-04-28T12:41:17Z
